Fecha,Hora,TM,HRM%,PPT,RS
25-07-2023,00:00 - 00:30,24.7,73,0.0,0
25-07-2023,00:30 - 01:00,24.4,74,0.0,0
25-07-2023,01:00 - 01:30,24.1,75,0.0,0
25-07-2023,01:30 - 02:00,23.9,75,0.0,0
25-07-2023,02:00 - 02:30,23.9,74,0.0,0
25-07-2023,02:30 - 03:00,23.7,76,0.0,0
25-07-2023,03:00 - 03:30,23.7,77,0.0,0
25-07-2023,03:30 - 04:00,23.9,71,0.0,0
25-07-2023,04:00 - 04:30,23.7,51,0.0,0
25-07-2023,04:30 - 05:00,23.2,48,0.0,6
25-07-2023,05:00 - 05:30,22.6,49,0.0,24
25-07-2023,05:30 - 06:00,22.2,50,0.0,39
25-07-2023,06:00 - 06:30,22.3,50,0.0,193
25-07-2023,06:30 - 07:00,22.7,48,0.0,309
25-07-2023,07:00 - 07:30,23.6,46,0.0,404
25-07-2023,07:30 - 08:00,24.2,44,0.0,501
25-07-2023,08:00 - 08:30,24.9,42,0.0,578
25-07-2023,08:30 - 09:00,25.7,38,0.0,663
25-07-2023,09:00 - 09:30,26.6,37,0.0,757
25-07-2023,09:30 - 10:00,27.5,34,0.0,821
25-07-2023,10:00 - 10:30,28.0,32,0.0,871
25-07-2023,10:30 - 11:00,28.8,29,0.0,914
25-07-2023,11:00 - 11:30,29.6,27,0.0,924
25-07-2023,11:30 - 12:00,30.0,25,0.0,945
25-07-2023,12:00 - 12:30,30.3,25,0.0,956
25-07-2023,12:30 - 13:00,30.6,24,0.0,944
25-07-2023,13:00 - 13:30,30.8,24,0.0,913
25-07-2023,13:30 - 14:00,31.2,25,0.0,862
25-07-2023,14:00 - 14:30,31.0,25,0.0,808
25-07-2023,14:30 - 15:00,31.2,25,0.0,746
25-07-2023,15:00 - 15:30,31.2,25,0.0,669
25-07-2023,15:30 - 16:00,31.1,25,0.0,582
25-07-2023,16:00 - 16:30,31.3,24,0.0,492
25-07-2023,16:30 - 17:00,30.9,23,0.0,405
25-07-2023,17:00 - 17:30,30.7,22,0.0,303
25-07-2023,17:30 - 18:00,29.8,24,0.0,191
25-07-2023,18:00 - 18:30,27.6,49,0.0,98
25-07-2023,18:30 - 19:00,25.5,62,0.0,30
25-07-2023,19:00 - 19:30,24.4,67,0.0,2
25-07-2023,19:30 - 20:00,23.5,71,0.0,0
25-07-2023,20:00 - 20:30,23.1,70,0.0,0
25-07-2023,20:30 - 21:00,23.0,69,0.0,0
25-07-2023,21:00 - 21:30,23.2,67,0.0,0
25-07-2023,21:30 - 22:00,23.1,67,0.0,0
25-07-2023,22:00 - 22:30,22.7,68,0.0,0
25-07-2023,22:30 - 23:00,22.5,68,0.0,0
25-07-2023,23:00 - 23:30,22.3,68,0.0,0
25-07-2023,23:30 - 00:00,22.1,66,0.0,0
26-07-2023,00:00 - 00:30,21.5,64,0.0,0
26-07-2023,00:30 - 01:00,21.5,62,0.0,0
26-07-2023,01:00 - 01:30,21.6,59,0.0,0
26-07-2023,01:30 - 02:00,21.8,59,0.0,0
26-07-2023,02:00 - 02:30,21.6,59,0.0,0
26-07-2023,02:30 - 03:00,21.0,62,0.0,0
26-07-2023,03:00 - 03:30,21.0,62,0.0,0
26-07-2023,03:30 - 04:00,21.7,60,0.0,0
26-07-2023,04:00 - 04:30,21.8,56,0.0,0
26-07-2023,04:30 - 05:00,21.6,53,0.0,3
26-07-2023,05:00 - 05:30,21.4,55,0.0,28
26-07-2023,05:30 - 06:00,21.4,50,0.0,36
26-07-2023,06:00 - 06:30,21.3,50,0.0,54
26-07-2023,06:30 - 07:00,21.4,49,0.0,164
26-07-2023,07:00 - 07:30,21.9,48,0.0,208
26-07-2023,07:30 - 08:00,22.2,47,0.0,255
26-07-2023,08:00 - 08:30,22.8,47,0.0,344
26-07-2023,08:30 - 09:00,23.3,49,0.0,443
26-07-2023,09:00 - 09:30,24.0,48,0.0,612
26-07-2023,09:30 - 10:00,24.6,50,0.0,613
26-07-2023,10:00 - 10:30,24.8,53,0.0,401
26-07-2023,10:30 - 11:00,24.9,57,0.0,416
26-07-2023,11:00 - 11:30,24.8,59,0.0,469
26-07-2023,11:30 - 12:00,25.0,59,0.0,461
26-07-2023,12:00 - 12:30,25.4,57,0.0,781
26-07-2023,12:30 - 13:00,25.2,58,0.0,611
26-07-2023,13:00 - 13:30,25.4,58,0.0,638
26-07-2023,13:30 - 14:00,25.5,58,0.0,821
26-07-2023,14:00 - 14:30,25.6,59,0.0,710
26-07-2023,14:30 - 15:00,25.3,61,0.0,368
26-07-2023,15:00 - 15:30,25.4,61,0.0,438
26-07-2023,15:30 - 16:00,25.3,62,0.0,362
26-07-2023,16:00 - 16:30,26.1,60,0.0,629
26-07-2023,16:30 - 17:00,25.5,63,0.0,297
26-07-2023,17:00 - 17:30,24.9,65,0.0,168
26-07-2023,17:30 - 18:00,24.8,66,0.0,114
26-07-2023,18:00 - 18:30,24.4,69,0.0,73
26-07-2023,18:30 - 19:00,24.2,70,0.0,35
26-07-2023,19:00 - 19:30,23.7,72,0.0,3
26-07-2023,19:30 - 20:00,23.5,74,0.0,0
26-07-2023,20:00 - 20:30,23.6,74,0.0,0
26-07-2023,20:30 - 21:00,23.5,75,0.0,0
26-07-2023,21:00 - 21:30,23.1,77,0.0,0
